material_id,crystal_system,space_group,theoretical,reduction_limit,oxidation_limit,reduction_reaction,oxidation_reaction,formula_pretty,chemsys,nsites,energy_above_hull,band_gap,is_stable
mp-4495,Tetragonal,P4/nmm,False,0.0,1.55,2 KLiTe -> 2 KLiTe,2 KLiTe -> 2 KTe + 2 Li,KLiTe,K-Li-Te,6,0.0,2.41,True
mp-1184020,Monoclinic,Pm,True,0.0,2.35,2 CsLi3I4 -> 6 LiI + 2 CsI,2 CsLi3I4 -> 2 CsI3 + 2 LiI + 4 Li,CsLi3I4,Cs-I-Li,16,0.01,4.28,False
mp-1189357,Orthorhombic,C222_1,True,0.0,2.96,2 Cs3LiBr4 -> 2 LiBr + 6 CsBr,2 Cs3LiBr4 -> CsBr3 + 5 CsBr + 2 Li,Cs3LiBr4,Br-Cs-Li,16,0.04,4.04,False
mp-1079935,Trigonal,R-3c,True,0.0,0.99,2 LiCaH3 -> 2 CaH2 + 2 LiH,2 LiCaH3 -> 2 CaH2 + H2 + 2 Li,LiCaH3,Ca-H-Li,10,0.02,2.55,False
mp-14712,Cubic,P-43n,False,0.01,0.93,8 Li7PN4 -> 8 Li7PN4,8 Li7PN4 -> 8 LiPN2 + 5.333 LiN3 + 42.67 Li,Li7PN4,Li-N-P,96,0.0,3.47,True
mp-571390,Orthorhombic,Cmcm,True,0.0,4.3,2 Cs2LiCl3 -> 2 CsLiCl2 + 2 CsCl,2 Cs2LiCl3 -> Cl2 + 4 CsCl + 2 Li,Cs2LiCl3,Cl-Cs-Li,12,0.02,5.13,False
mp-985585,Cubic,Pm-3m,True,0.0,2.87,Li3ClO -> Li2O + LiCl,Li3ClO -> 0.25 LiClO4 + 0.75 LiCl + 2 Li,Li3ClO,Cl-Li-O,5,0.03,4.68,False
mp-1188344,Monoclinic,C2/c,False,0.0,4.3,4 CsLiCl2 -> 4 CsLiCl2,4 CsLiCl2 -> 2 Cl2 + 4 CsCl + 4 Li,CsLiCl2,Cl-Cs-Li,16,0.0,5.11,True
mp-1222299,Tetragonal,I-4m2,True,0.19,0.94,LiMgBN2 -> LiMgBN2,LiMgBN2 -> 0.1111 LiN3 + 0.3333 Mg3N2 + BN + 0.8889 Li,LiMgBN2,B-Li-Mg-N,5,0.0,2.65,True
mp-1020016,Monoclinic,C2/m,False,0.0,0.83,Li4Ca2Mg(SiN3)2 -> Li4Ca2Mg(SiN3)2,Li4Ca2Mg(SiN3)2 -> 0.625 LiCa3Si2N5 + 0.125 CaMg3SiN4 + 0.625 MgSiN2 + 0.375 LiN3 + 3 Li,Li4Ca2Mg(SiN3)2,Ca-Li-Mg-N-Si,15,0.0,3.05,True
mp-23057,Tetragonal,P4/nmm,False,0.0,2.96,2 CsLiBr2 -> 2 LiBr + 2 CsBr,2 CsLiBr2 -> CsBr3 + CsBr + 2 Li,CsLiBr2,Br-Cs-Li,8,0.0,4.14,True
mp-557964,Cubic,Pm-3m,False,0.0,0.48,Li9S3N -> Li3N + 3 Li2S,Li9S3N -> 3 Li2S + 0.3333 LiN3 + 2.667 Li,Li9S3N,Li-N-S,13,0.0,2.43,False
mp-23259,Cubic,Fm-3m,False,0.0,3.67,LiBr -> LiBr,LiBr -> Br + Li,LiBr,Br-Li,2,0.01,4.92,False
mp-2286,Cubic,Fm-3m,False,0.0,2.13,Li2Se -> Li2Se,Li2Se -> Se + 2 Li,Li2Se,Li-Se,3,0.0,2.97,True
mp-8756,Tetragonal,P4/nmm,False,0.14,1.76,2 KLiSe -> 2 KLiSe,2 KLiSe -> 2 KSe + 2 Li,KLiSe,K-Li-Se,6,0.0,2.52,True
mp-3427,Tetragonal,P4_12_12,False,0.17,3.48,4 LiAlO2 -> 4 LiAlO2,4 LiAlO2 -> 0.3636 Al11O18 + 0.1818 LiO8 + 3.818 Li,LiAlO2,Al-Li-O,16,0.01,4.59,False
mp-2530,Cubic,Fm-3m,False,0.0,1.56,Li2Te -> Li2Te,Li2Te -> 0.3333 LiTe3 + 1.667 Li,Li2Te,Li-Te,3,0.0,2.49,True
mp-37906,Cubic,F-43m,True,0.0,0.68,LiMgN -> LiMgN,LiMgN -> 0.3333 Mg3N2 + 0.1111 LiN3 + 0.8889 Li,LiMgN,Li-Mg-N,3,0.0,2.27,True
mp-568365,Orthorhombic,Ibca,False,0.0,0.53,8 Li6Br3N -> 8 Li5Br2N + 8 LiBr,8 Li6Br3N -> 24 LiBr + 2.667 LiN3 + 21.33 Li,Li6Br3N,Br-Li-N,80,0.01,2.26,False
mp-976280,Hexagonal,P6_3mc,True,0.0,3.67,2 LiBr -> 2 LiBr,2 LiBr -> 2 Br + 2 Li,LiBr,Br-Li,4,0.0,4.94,True
mp-1080534,Monoclinic,C2/m,False,0.0,2.35,Cs2Li3I5 -> 3 LiI + 2 CsI,Cs2Li3I5 -> 1.5 CsI3 + 0.5 CsI + 3 Li,Cs2Li3I5,Cs-I-Li,10,0.01,3.86,False
mp-5001,Monoclinic,P2_1/c,False,0.0,0.87,4 Li3BN2 -> 4 Li3BN2,4 Li3BN2 -> 4 BN + 1.333 LiN3 + 10.67 Li,Li3BN2,B-Li-N,24,0.0,3.21,True
mp-1211435,Monoclinic,P2_1/c,True,0.29,6.12,4 KLiTbF5 -> 4 KLiTbF5,4 KLiTbF5 -> 2 KTb2F7 + 2 KF2 + 2 LiF + 2 Li,KLiTbF5,F-K-Li-Tb,32,0.0,7.39,True
mp-1036528,Tetragonal,P4/mmm,True,0.17,3.48,LiMg14AlO16 -> 14 MgO + LiAlO2,LiMg14AlO16 -> 0.04545 LiO8 + 0.09091 Al11O18 + 14 MgO + 0.9545 Li,LiMg14AlO16,Al-Li-Mg-O,32,0.03,4.08,False
mp-1020056,Monoclinic,C2/c,False,0.09,1.03,4 LiCa3Si2N5 -> 4 LiCa3Si2N5,4 LiCa3Si2N5 -> 5.5 CaSiN2 + 0.25 CaN6 + 1.25 Ca5(SiN3)2 + 4 Li,LiCa3Si2N5,Ca-Li-N-Si,44,0.0,2.44,True
mp-1095674,Orthorhombic,Cmcm,True,0.0,2.96,2 Cs2LiBr3 -> 2 LiBr + 4 CsBr,2 Cs2LiBr3 -> CsBr3 + 3 CsBr + 2 Li,Cs2LiBr3,Br-Cs-Li,12,0.0,4.35,False
mp-1176564,Monoclinic,P2_1/c,True,0.0,3.04,4 LiTmO2 -> 4 LiTmO2,4 LiTmO2 -> Li2O2 + 2 Tm2O3 + 2 Li,LiTmO2,Li-O-Tm,16,0.0,4.18,True
mp-9610,Tetragonal,I4/mmm,False,0.0,2.06,Li2CN2 -> Li2CN2,Li2CN2 -> N2 + C + 2 Li,Li2CN2,C-Li-N,5,0.0,3.74,True
mp-942733,Tetragonal,I4_1/acd,False,0.05,2.88,4 Li7La3Zr2O12 -> 4 Li6Zr2O7 + 2 Li2O + 6 La2O3,4 Li7La3Zr2O12 -> 4 Li6Zr2O7 + Li2O2 + 6 La2O3 + 2 Li,Li7La3Zr2O12,La-Li-O-Zr,96,0.01,4.45,False
mp-1038204,Tetragonal,P4/mmm,True,0.17,3.48,LiMg30AlO32 -> 30 MgO + LiAlO2,LiMg30AlO32 -> 0.04545 LiO8 + 0.09091 Al11O18 + 30 MgO + 0.9545 Li,LiMg30AlO32,Al-Li-Mg-O,64,0.01,4.48,False
mp-30156,Orthorhombic,Pnma,False,0.0,0.68,4 LiMgN -> 4 LiMgN,4 LiMgN -> 1.333 Mg3N2 + 0.4444 LiN3 + 3.556 Li,LiMgN,Li-Mg-N,12,0.0,2.21,False
mp-756344,Orthorhombic,Cmcm,True,0.05,2.88,2 Li4ZrO4 -> Li2O + Li6Zr2O7,2 Li4ZrO4 -> Li6Zr2O7 + 0.5 Li2O2 + Li,Li4ZrO4,Li-O-Zr,18,0.04,4.32,False
mp-558310,Hexagonal,P6_3cm,False,0.27,3.39,6 BaLi2SiO4 -> 6 BaLi2SiO4,6 BaLi2SiO4 -> 0.75 LiO8 + 6 BaSiO3 + 11.25 Li,BaLi2SiO4,Ba-Li-O-Si,48,0.0,4.39,True
mp-34326,Monoclinic,C2/m,True,0.0,0.53,Li6Br3N -> Li5Br2N + LiBr,Li6Br3N -> 3 LiBr + 0.3333 LiN3 + 2.667 Li,Li6Br3N,Br-Li-N,10,0.03,2.22,False
mp-571409,Monoclinic,C2/m,True,0.0,2.96,Cs2Li3Br5 -> 3 LiBr + 2 CsBr,Cs2Li3Br5 -> 1.5 CsBr3 + 0.5 CsBr + 3 Li,Cs2Li3Br5,Br-Cs-Li,10,0.01,4.44,False
mp-1202424,Tetragonal,P-4b2,False,0.0,1.12,2 Li5La5(SiN3)4 -> 2 Li5La5(SiN3)4,2 Li5La5(SiN3)4 -> 1.714 La5(SiN3)3 + 0.4762 La3Si6N11 + 1.111 LiN3 + 8.889 Li,Li5La5(SiN3)4,La-Li-N-Si,52,0.0,2.52,True
